Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4
Kwai Tsing District Squash Club L4,Hong Kong Cricket Club Rockettes,Yeung Uk Road Sports Centre,3,17/10/2025,2-2,"['3-0', '1-3', '0-3', '3-2']",2,2,7,8,home,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club Rockettes,Kwai Tsing District Squash Club L4
The Squash Club L4,JESSICA Mochis,Cornwall Street Squash Centre,3,17/10/2025,1-3,"['3-0', '2-3', '0-3', '0-3']",1,3,5,9,home,The Squash Club L4,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis
Hong Kong Cricket Club Rockettes,The Squash Club L4,Hong Kong Cricket Club,4,24/10/2025,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12,home,The Squash Club L4,The Squash Club L4,The Squash Club L4,The Squash Club L4
Hong Kong Football Club L4,Kwai Tsing District Squash Club L4,Hong Kong Football Club,4,24/10/2025,3-1,"['3-0', '0-3', '3-0', '3-1']",3,1,9,4,home,Hong Kong Football Club L4,Kwai Tsing District Squash Club L4,Hong Kong Football Club L4,Hong Kong Football Club L4
Squashathon Ladies,JESSICA L4,Cornwall Street Squash Centre,4,24/10/2025,1-3,"['3-1', 'WO', '0-3', '0-3']",1,3,3,10,home,Squashathon Ladies,,JESSICA L4,JESSICA L4
Hong Kong Football Club JSA,Hong Kong Cricket Club L4,Hong Kong Football Club,4,24/10/2025,1-3,"['3-0', 'CR', 'CR', 'CR']",1,3,3,9,home,Hong Kong Football Club JSA,,,
JESSICA L4,Hong Kong Football Club JSA,HK Squash Centre,5,31/10/2025,2-2,"['2-3', '3-0', '3-0', '0-3']",2,2,8,6,home,Hong Kong Football Club JSA,JESSICA L4,JESSICA L4,Hong Kong Football Club JSA
Squashathon Ladies,Kwai Tsing District Squash Club L4,Cornwall Street Squash Centre,5,31/10/2025,3-1,"['0-3', '3-1', '3-0', '3-0']",3,1,9,4,home,Kwai Tsing District Squash Club L4,Squashathon Ladies,Squashathon Ladies,Squashathon Ladies
The Squash Club L4,Hong Kong Football Club L4,Pei Ho Street Sports Centre,5,31/10/2025,3-1,"['3-0', '3-0', '0-3', '3-0']",3,1,9,3,neutral,The Squash Club L4,The Squash Club L4,Hong Kong Football Club L4,The Squash Club L4
JESSICA Mochis,Hong Kong Cricket Club Rockettes,HK Squash Centre,5,31/10/2025,4-0,"['3-1', '3-0', '3-0', '3-0']",4,0,12,1,home,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis
Hong Kong Football Club L4,JESSICA Mochis,Hong Kong Football Club,6,07/11/2025,4-0,"['3-1', '3-0', 'CR', 'CR']",4,0,12,1,home,Hong Kong Football Club L4,Hong Kong Football Club L4,,
Squashathon Ladies,The Squash Club L4,Cornwall Street Squash Centre,6,07/11/2025,1-3,"['3-1', '0-3', '0-3', 'CR']",1,3,3,10,shared_home,Squashathon Ladies,The Squash Club L4,The Squash Club L4,
Hong Kong Football Club JSA,Kwai Tsing District Squash Club L4,Hong Kong Football Club,6,07/11/2025,3-1,"['0-3', '3-0', '3-0', '3-0']",3,1,9,3,home,Kwai Tsing District Squash Club L4,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Hong Kong Cricket Club L4,JESSICA L4,Hong Kong Cricket Club,6,07/11/2025,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12,home,JESSICA L4,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Cricket Club L4,Kwai Tsing District Squash Club L4,Hong Kong Cricket Club,7,14/11/2025,1-3,"['3-0', '0-3', '0-3', '0-3']",1,3,3,9,home,Hong Kong Cricket Club L4,Kwai Tsing District Squash Club L4,Kwai Tsing District Squash Club L4,Kwai Tsing District Squash Club L4
The Squash Club L4,Hong Kong Football Club JSA,Cornwall Street Squash Centre,7,14/11/2025,1-3,"['2-3', '0-3', '0-3', '3-2']",1,3,5,11,home,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA,The Squash Club L4
JESSICA Mochis,Squashathon Ladies,HK Squash Centre,7,14/11/2025,4-0,"['3-1', '3-0', '3-2', '3-0']",4,0,12,3,home,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L4,Hong Kong Cricket Club,7,14/11/2025,3-1,"['3-0', '3-0', '3-0', '2-3']",3,1,11,3,home,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club Rockettes,Hong Kong Cricket Club Rockettes,Hong Kong Football Club L4
Squashathon Ladies,Hong Kong Cricket Club Rockettes,Cornwall Street Squash Centre,8,21/11/2025,3-1,"['3-0', '1-3', '3-0', 'CR']",3,1,10,3,home,Squashathon Ladies,Hong Kong Cricket Club Rockettes,Squashathon Ladies,
Hong Kong Football Club JSA,JESSICA Mochis,Hong Kong Football Club,8,21/11/2025,0-4,"['0-3', '0-3', '1-3', '0-3']",0,4,1,12,home,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis,JESSICA Mochis
Hong Kong Cricket Club L4,The Squash Club L4,Hong Kong Cricket Club,8,21/11/2025,2-2,"['3-0', '3-0', '0-3', '0-3']",2,2,6,6,home,Hong Kong Cricket Club L4,Hong Kong Cricket Club L4,The Squash Club L4,The Squash Club L4
JESSICA L4,Kwai Tsing District Squash Club L4,HK Squash Centre,8,21/11/2025,3-1,"['0-3', '3-0', '3-0', '3-0']",3,1,9,3,home,Kwai Tsing District Squash Club L4,JESSICA L4,JESSICA L4,JESSICA L4
Hong Kong Cricket Club Rockettes,Hong Kong Football Club JSA,Hong Kong Cricket Club,9,28/11/2025,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12,home,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA,Hong Kong Football Club JSA
Hong Kong Football Club L4,Squashathon Ladies,HK Squash Centre,9,28/11/2025,1-3,"['0-3', '1-3', '3-0', '2-3']",1,3,6,9,neutral,Squashathon Ladies,Squashathon Ladies,Hong Kong Football Club L4,Squashathon Ladies
