Home Team,Away Team,Venue,Match Week,Date
Royal Hong Kong Yacht Club M4,United Services Recreation Club M4,Royal Hong Kong Yacht Club,16,2025-02-20
Bolton,WAKO,Masters - HK Squash Centre,16,2025-02-20
Hong Kong Football Club M4B,Hong Kong Club Blue,Hong Kong Football Club,16,2025-02-20
SKCSC,Hong Kong Football Club M4A,Masters - Cornwall Street Squash Centre,16,2025-02-20
Hong Kong Football Club M4A,Royal Hong Kong Yacht Club M4,Hong Kong Football Club,17,2025-02-27
Hong Kong Club Blue,SKCSC,HK CLUB,17,2025-02-27
WAKO,Hong Kong Football Club M4B,Masters - Harbour Road Sports Centre,17,2025-02-27
United Services Recreation Club M4,Bolton,United Services Recreation Club,17,2025-02-27
Royal Hong Kong Yacht Club M4,Bolton,Royal Hong Kong Yacht Club,18,2025-03-06
Hong Kong Football Club M4B,United Services Recreation Club M4,Hong Kong Football Club,18,2025-03-06
SKCSC,WAKO,Masters - Cornwall Street Squash Centre,18,2025-03-06
Hong Kong Club Blue,Hong Kong Football Club M4A,HK CLUB,18,2025-03-06
Hong Kong Club Blue,Royal Hong Kong Yacht Club M4,HK CLUB,19,2025-03-13
WAKO,Hong Kong Football Club M4A,Masters - Harbour Road Sports Centre,19,2025-03-13
United Services Recreation Club M4,SKCSC,United Services Recreation Club,19,2025-03-13
Hong Kong Football Club M4B,Bolton,Hong Kong Football Club,19,2025-03-13
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club,20,2025-03-20
SKCSC,Bolton,Masters - Cornwall Street Squash Centre,20,2025-03-20
Hong Kong Football Club M4A,United Services Recreation Club M4,Hong Kong Football Club,20,2025-03-20
Hong Kong Club Blue,WAKO,HK CLUB,20,2025-03-20
WAKO,Royal Hong Kong Yacht Club M4,Masters - Harbour Road Sports Centre,21,2025-03-27
United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club,21,2025-03-27
Bolton,Hong Kong Football Club M4A,Masters - HK Squash Centre,21,2025-03-27
Hong Kong Football Club M4B,SKCSC,Hong Kong Football Club,21,2025-03-27
